Family,PL_output_name,Authority,extant as of 2015? (pers.obs.),comment
Myristicaceae,Myristica maingayi,Hook.f.,yes (reuben),
Myristicaceae,Myristica maxima,Warb.,yes (ys),
Rubiaceae,Nauclea officinalis,(Pierre ex Pit.) Merr. & Chun,yes (ys),
Malvaceae,Neesia malayana,Bakh.,yes (reuben),
Malvaceae,Neesia synandra,Mast.,yes (ys),
Arecaceae,Nenga pumila (var. pachystachya),(Blume) H.Wendl.,yes (ys),
Lauraceae,Neolitsea cassia,(L.) Kosterm.,yes (ys),
Euphorbiaceae,Neoscortechinia sumatrensis,S.Moore,yes (ys),
Nepenthaceae,Nepenthes ampullaria,Jack,yes (ys),
Nepenthaceae,Nepenthes gracilis,Korth.,yes (ys),
Nepenthaceae,Nepenthes rafflesiana,Jack,yes (ys),
Orchidaceae,Nephelaphyllum pulchrum,Blume,yes (2011 NIS),
Sapindaceae,Nephelium cuspidatum,Blume,yes (ys),
Sapindaceae,Nephelium lappaceum,L.,yes (ys),
Sapindaceae,Nephelium laurinum,Blume,yes (ys),
Sapindaceae,Nephelium maingayi,Hiern,yes (Wei Wei),
Nephrolepidaceae,Nephrolepis acutifolia,(Desv.) Christ,yes (ys),
Lauraceae,Nothaphoebe umbelliflora,(Blume) Blume,yes (ys),
Vitaceae,Nothocissus spicifera,Griff.,yes (ys),
Menyanthaceae,Nymphoides indica,(L.) Kuntze,yes (ys),
Arecaceae,Nypa fruticans,Wurmb,yes (ys),
Olacaceae,Ochanostachys amentacea,Mast.,yes (ys),
Rubiaceae,Oldenlandia prostrata,Pires de Lima,yes (ys),
Oleaceae,Olea brachiata,(Lour.) Merr.,yes (ys),
Arecaceae,Oncosperma horridum,(Griff.) Scheff.,yes (ys),
Arecaceae,Oncosperma tigillarium,(Jack) Ridl.,yes (ys),
Ophioglossaceae,Ophioglossum pendulum,L.,yes (ys),
Ophioglossaceae,Ophioglossum reticulatum,L.,yes (ys),
Rubiaceae,Ophiorrhiza singaporensis,Ridl.,yes (ys),
Arecaceae,Orania sylvicola,(Griff.) H.E.Moore,"yes (Loo et al., 2014)",
Leguminosae,Ormosia bancana,(Miq.) Merr.,yes (ys),
Salicaceae,Osmelia philippina,Fern.-Vill.,yes (ys),
Poaceae,Ottochloa nodosa,(Kunth) Dandy,yes (ys),
Rubiaceae,Oxyceros fragrantissimus,(Ridl.) K.M.Wong,yes (ys),
Rubiaceae,Oxyceros longiflorus,(Lam.) T.Yamaz.,yes (ys),
Rubiaceae,Paederia foetida,L.,yes (ys),
Sapotaceae,Palaquium gutta,(Hook.) Baill.,yes (ys),
Sapotaceae,Palaquium hexandrum,(Griff.) Baill.,yes (Wei Wei),
Sapotaceae,Palaquium microphyllum,King & Gamble,yes (ys),
Sapotaceae,Palaquium obovatum,(Griff.) Engl.,yes (ys),
Sapotaceae,Palaquium rostratum,(Miq.) Burck,yes (ys),
Sapotaceae,Palaquium xanthochymum,(de Vriese) Pierre ex Burck,yes (Wei Wei),
Pandanaceae,Pandanus yvanii,Solms,yes (ys),
Apocynaceae,Parameria laevigata,(Juss.) Moldenke,yes (ys),
Apocynaceae,Parameria polyneura,Hook.f.,yes (ys),
Rutaceae,Paramignya scandens,Craib,yes (ys),
Chrysobalanaceae,Parastemon urophyllus,(Wall. ex A.DC.) A.DC.,yes (ys),
Chrysobalanaceae,Parinari oblongifolia,Hook.f.,yes (ys),
Anacardiaceae,Parishia insignis,Hook.f.,yes (ys),
Anacardiaceae,Parishia maingayi,Hook.f.,yes (ys),
Leguminosae,Parkia speciosa,Hassk.,yes (ys),
Poaceae,Paspalum vaginatum,Sw.,yes (ys),
Rubiaceae,Pavetta wallichiana,Steud.,yes (ys),
Asparagaceae,Peliosanthes teta,Andrews,yes (ys),
Rhizophoraceae,Pellacalyx axillaris,Korth.,yes (ys),
Rhizophoraceae,Pellacalyx saccardianus,Scort.,yes (ys),
Malvaceae,Pentace triptera,Mast.,yes (ys),
Pentaphragmataceae,Pentaphragma ellipticum var. ellipticum,Poulsen,yes (ys),
Rubiaceae,Pertusadina eurhyncha,(Miq.) Ridsdale,yes (ys),
Annonaceae,Phaeanthus ophthalmicus,(Roxb. ex G.Don) J.Sinclair,yes (ys),
Arecaceae,Pholidocarpus kingianus,(Becc.) Ridl.,"yes (Loo et al., 2014)",
Marantaceae,Phrynium hirtum,Ridl.,yes (ys),
Marantaceae,Phrynium parvum,(Ridl.) Holttum,yes (Matti),
Polypodiaceae,Phymatosorus scolopendria,(Burm. f.) Pic. Serm.,yes (ys),
Icacinaceae,Phytocrene bracteata,Wall.,yes (ys),
Euphorbiaceae,Pimelodendron griffithianum,(Müll.Arg.) Benth. ex Hook.f.,yes (ys),
Arecaceae,Pinanga malaiana,(Mart.) Scheff.,"yes (Loo et al., 2014)",
Arecaceae,Pinanga simplicifrons,(Miq.) Becc.,yes (ys),
Piperaceae,Piper caninum,Blume,yes (ys),
Piperaceae,Piper flavimarginatum,C.DC.,yes (ys),
Piperaceae,Piper macropiper,Pennant,yes (ys),
Piperaceae,Piper porphyrophyllum,N.E.Br.,yes (ys),
Piperaceae,Piper ribesioides,Wall.,yes (ys),
Piperaceae,Piper ridleyi,C.DC.,yes (ys),
Piperaceae,Piper sarmentosum,Roxb.,yes (ys),
Pittosporaceae,Pittosporum ferrugineum,W.T.Aiton,yes (ys),
Lecythidaceae,Planchonia grandis,Ridl.,yes (ys),
Polypodiaceae,Platycerium coronarium,(Mull.) Desv.,yes (ys),
Arecaceae,Plectocomia elongata,Mart. ex Blume,yes (ys),
Arecaceae,Plectocomiopsis geminiflora,(Griff.) Becc.,yes (2011 NIS),
Tectariaceae,Pleocnemia conjugata,(Blume) C. Presl,yes (ys),
Tectariaceae,Pleocnemia irregularis,(C. Presl) Holttum,yes (ys),
Orchidaceae,Plocoglottis gigantea,(Hook.f.) J.J.Sm.,yes (ys),
Orchidaceae,Plocoglottis javanica,Blume,yes (2011 NIS),
Orchidaceae,Plocoglottis lowii,Rchb.f.,yes (Matti),
Bonnetiaceae,Ploiarium alternifolium,(Vahl) Melch.,yes (ys),
Podocarpaceae,Podocarpus polystachyus,R.Br. ex Endl.,yes (ys),
Urticaceae,Poikilospermum suaveolens,(Blume) Merr.,yes (ys),
Annonaceae,Polyalthia angustissima,Ridl.,yes (ys),
Annonaceae,Polyalthia cauliflora,Hook.f. & Thomson,yes (ys),
Orchidaceae,Polystachya concreta,(Jacq.) Garay & H.R.Sweet,yes (2011 NIS),
Orchidaceae,Pomatocalpa diffusum,Breda,yes (2010 NIS),
Sapindaceae,Pometia pinnata,J.R. Forst. & G. Forst.,yes (ys),
Leguminosae,Pongamia pinnata,(L.) Pierre,yes (ys),
Annonaceae,Popowia tomentosa,Maingay ex Hook.f. & Thomson,yes (ys),
Sapotaceae,Pouteria malaccensis,(C.B.Clarke) Baehni,yes (ys),
Sapotaceae,Pouteria obovata,(R.Br.) Baehni,yes (ys),
Thelypteridaceae,Pronephrium repandum,(Fee) Holttum,yes (ys),
Thelypteridaceae,Pronephrium triphyllum,(Sw.) Holttum,yes (ys),
Rosaceae,Prunus arborea,(Blume) Kalkman,yes (ys),
Rosaceae,Prunus grisea,(Blume ex Müll.Berol.) Kalkman,yes (ys),
Rosaceae,Prunus polystachya,(Hook.f.) Kalkman,yes (ys),
Meliaceae,Pseudoclausena chrysogyne,(Miq.) T.Clark,yes (Wei Wei),
Psilotaceae,Psilotum nudum,(L.) P. Beauv.,yes (ys),
Rubiaceae,Psychotria helferiana,Kurz,yes (ys),
Rubiaceae,Psychotria maingayi,Hook.f.,yes (ys),
Rubiaceae,Psychotria ovoidea,Wall. ex Hook.f.,yes (ys),
Rubiaceae,Psychotria penangensis,Hook.f.,yes (ys),
Rubiaceae,Psychotria rostrata,Blume,yes (ys),
Pteridaceae,Pteris multifida,Poir.,yes (ys),
Pteridaceae,Pteris semipinnata,L.,yes (ys),
Pteridaceae,Pteris tripartita,Sw.,yes (ys),
Vitaceae,Pterisanthes eriopoda,Planch.,yes (ys),
Vitaceae,Pterisanthes polita,Planch.,yes (ys),
Melastomataceae,Pternandra caerulescens,Jack,yes (ys),
Melastomataceae,Pternandra echinata,Wall.,yes (ys),
Malvaceae,Pterocymbium tubulatum,Pierre,yes (reuben),
Malvaceae,Pterospermum javanicum,Jungh.,yes (ys),
Theaceae,Pyrenaria acuminata,Planch. ex Choisy,yes (ys),
Polypodiaceae,Pyrrosia lanceolata,(L.) Farw.,yes (ys),
Polypodiaceae,Pyrrosia longifolia,(Burm. f.) C.V. Morton,yes (ys),
Polypodiaceae,Pyrrosia piloselloides,(L.) M.G. Price,yes (ys),
Rhizophoraceae,Rhizophora apiculata,Blume,yes (ys),
Myrtaceae,Rhodamnia cinerea,Jack,yes (ys),
Arecaceae,Rhopaloblaste singaporensis,(Becc.) Hook.f.,yes (ys),
Violaceae,Rinorea anguifera,Kuntze,yes (ys),
Violaceae,Rinorea lanceolata,Kuntze,yes (ys),
Rubiaceae,Rothmannia macrophylla,(Hook.f.) Bremek.,yes (ys),
Connaraceae,Rourea acutipetala,Miq.,yes (Wei Wei),
Connaraceae,Rourea asplenifolia,(G. Schellenb.) Jongkind,yes (ys),
Connaraceae,Rourea fulgens,Planch.,yes (ys),
Connaraceae,Rourea mimosoides,Planch.,yes (ys),
Connaraceae,Rourea minor,(Gaertn.) Alston,yes (ys),
Rosaceae,Rubus moluccanus,L.,yes (ys),
Achariaceae,Ryparosa hullettii,King,yes (ys),
Arecaceae,Salacca affinis,Griff.,yes (ys),
Celastraceae,Salacia chinensis,L.,yes (reuben),
Celastraceae,Salacia korthalsiana,Miq.,yes (ys),
Celastraceae,Salacia maingayi,M.A.Lawson,yes (reuben),
Celastraceae,Salacia viminea,Wall.,yes (ys),
Meliaceae,Sandoricum beccarianum,Baill.,yes (ys),
Meliaceae,Sandoricum koetjape,(Burm.f.) Merr.,yes (ys),
Burseraceae,Santiria apiculata,A.W.Benn.,yes (ys),
Burseraceae,Santiria griffithii,Engl.,yes (ys),
Burseraceae,Santiria laevigata,Blume,yes (ys),
Burseraceae,Santiria rubiginosa,Blume,yes (Wei Wei),
Burseraceae,Santiria tomentosa,Blume,yes (Wei Wei),
Sapotaceae,Sarcosperma paniculatum,(King) Stapf & King,yes (ys),
Actinidiaceae,Saurauia pentapetala,(Jack) Hoogland,yes (ys),
Goodeniaceae,Scaevola taccada,(Gaertn.) Roxb.,yes (ys),
Malvaceae,Scaphium affine,(Mast.) Pierre,yes (reuben),
Malvaceae,Scaphium linearicarpum,(Mast.) Pierre,yes (ys),
Malvaceae,Scaphium macropodum,(Miq.) Beumée ex K.Heyne,yes (ys),
Araceae,Schismatoglottis calyptrata,(Roxb.) Zoll. & Moritzi,yes (ys),
Araceae,Schismatoglottis wallichii,Hook.f.,yes (ys),
Schizaeaceae,Schizaea dichotoma,(L.) J. Sm.,yes (ys),
Schizaeaceae,Schizaea digitata,(L.) Wall. ex J. Sm.,yes (ys),
Araceae,Scindapsus hederaceus,Miq.,yes (ys),
Araceae,Scindapsus pictus,Hassk.,yes (ys),
Cyperaceae,Scleria ciliaris,Nees,yes (ys),
Santalaceae,Scleropyrum pentandrum,(Dennst.) Mabb.,yes (ys),
Salicaceae,Scolopia macrophylla,Clos,yes (Wei Wei),
Olacaceae,Scorodocarpus borneensis,(Baill.) Becc.,yes (ys),
Poaceae,Scrotochloa urceolata,(Roxb.) Judz.,yes (ys),
Loranthaceae,Scurrula ferruginea,(Jack) Danser,yes (ys),
Loranthaceae,Scurrula parasitica,L.,yes (ys),
Rubiaceae,Scyphiphora hydrophylacea,C.F.Gaertn.,yes (ys),
Polygalaceae,Securidaca philippinensis,Chodat,yes (Wei Wei),
Selaginellaceae,Selaginella argentea,(Wall.) Spring,yes (NIS 2014),
Selaginellaceae,Selaginella intermedia,Spring,yes (ys),
Selaginellaceae,Selaginella mayeri,Hieron.,yes (ys),
Aizoaceae,Sesuvium portulacastrum,(L.) L.,yes (ys),
Dipterocarpaceae,Shorea curtisii,Dyer ex King,yes (ys),
Dipterocarpaceae,Shorea leprosula,Miq.,yes (ys),
Dipterocarpaceae,Shorea macroptera,Dyer,yes (ys),
Dipterocarpaceae,Shorea ovalis,Blume,yes (ys),
Dipterocarpaceae,Shorea pauciflora,King,yes (ys),
Leguminosae,Sindora coriacea,(Baker) Prain,yes (Wei Wei),
Smilacaceae,Smilax calophylla,Wall. ex A.DC.,yes (ys),
Smilacaceae,Smilax leucophylla,Blume,yes (ys),
Smilacaceae,Smilax setosa,Miq.,yes (ys),
Poaceae,Soejatmia ridleyi,(Gamble) K.M.Wong,yes (Wei Wei),
Melastomataceae,Sonerila heterostemon,Naudin,yes (ys),
Lythraceae,Sonneratia alba,Sm.,yes (ys),
Lythraceae,Sonneratia caseolaris,(L.) Engl.,yes (ys),
Lythraceae,Sonneratia ovata,Backer,yes (ys),
Orchidaceae,Spathoglottis plicata,Blume,yes (ys),
Leguminosae,Spatholobus ferrugineus,(Zoll. & Moritzi) Benth.,yes (ys),
Thelypteridaceae,Sphaerostephanos heterocarpus,(Blume) Holttum,yes (ys),
Thelypteridaceae,Sphaerostephanos polycarpa,Copel.,yes (ys),
Marantaceae,Stachyphrynium latifolium,(Blume) K.Schum.,yes (ys),
Acanthaceae,Staurogyne kingiana,C.B.Clarke,yes (plant observatory),
Blechnaceae,Stenochlaena palustris,(Burm. f.) Bedd.,yes (ys),
Menispermaceae,Stephania capitata,(Blume) Spreng.,yes (ys),
Malvaceae,Sterculia coccinea,Roxb.,yes (ys),
Malvaceae,Sterculia cordata,Blume,yes (reuben),
Malvaceae,Sterculia gilva,Miq.,yes (reuben),
Malvaceae,Sterculia macrophylla,Vent.,yes (ys),
Malvaceae,Sterculia parviflora,Roxb.,yes (ys),
Malvaceae,Sterculia rubiginosa,Zoll. ex Miq.,yes (ys),
Moraceae,Streblus elongatus,(Miq.) Corner,yes (ys),
Olacaceae,Strombosia ceylanica,Gardner,yes (ys),
Olacaceae,Strombosia javanica,Thwaites,yes (ys),
Apocynaceae,Strophanthus caudatus,(L.) Kurz,yes (ys),
Loganiaceae,Strychnos axillaris,Colebr.,yes (ys),
Loganiaceae,Strychnos ignatii,P.J. Bergius,yes (ys),
Loganiaceae,Strychnos maingayi,C.B.Clarke,yes (ys),
Styracaceae,Styrax benzoin,Dryand.,yes (ys),
Euphorbiaceae,Suregada multiflora,(A.Juss.) Baill.,yes (ys),
Anacardiaceae,Swintonia schwenckii,Teijsm. & Binn. ex Hook.f.,yes (Wei Wei),
Symplocaceae,Symplocos adenophylla,Wall. ex G. Don,yes (ys),
Symplocaceae,Symplocos barringtoniifolia,Brand,yes (Chong),
Symplocaceae,Symplocos fasciculata,Roxb. ex A.DC.,yes (ys),
Symplocaceae,Symplocos lucida,(Thunb.) Siebold & Zucc.,yes (Chong),
Symplocaceae,Symplocos odoratissima,Choisy ex Zoll.,yes (Chong),
Pteridaceae,Syngramma alismifolia,(C. Presl) J. Sm.,yes (ys),
Myrtaceae,Syzygium borneense,(Miq.) Miq.,yes (ys),
Myrtaceae,Syzygium chloranthum,(Duthie) Merr. & L.M.Perry,yes (ys),
Myrtaceae,Syzygium filiforme,Chantaran. & J.Parn.,yes (ys),
Myrtaceae,Syzygium glaucum,(King) Chantaran. & J.Parn.,yes (ys),
Myrtaceae,Syzygium grande,(Wight) Walp.,yes (ys),
Myrtaceae,Syzygium incarnatum,(Elmer) Merr. & L.M.Perry,yes (ys),
Myrtaceae,Syzygium lineatum,(DC.) Merr. & L.M.Perry,yes (ys),
Myrtaceae,Syzygium myrtifolium,Walp.,yes (Nparks),
Myrtaceae,Syzygium nigricans,(King) Merr. & L.M.Perry,yes (ys),
Myrtaceae,Syzygium polyanthum,(Wight) Walp.,yes (ys),
Myrtaceae,Syzygium pseudocrenulatum,(M.R.Hend.) I.M.Turner,yes (louise),
Myrtaceae,Syzygium ridleyi,(King) Chantaran. & J.Parn.,yes (ys),
Myrtaceae,Syzygium zeylanicum,(L.) DC.,yes (ys),
Apocynaceae,Tabernaemontana corymbosa,Roxb. ex Wall.,yes (ys),
Apocynaceae,Tabernaemontana pauciflora,Blume,yes (ys),
Dioscoreaceae,Tacca integrifolia,Ker Gawl.,yes (ys),
Orchidaceae,Taeniophyllum pusillum,(Willd.) Seidenf. & Ormerod,yes (Matti),
Pteridaceae,Taenitis blechnoides,(Willd.) Sw.,yes (ys),
Pteridaceae,Taenitis interrupta,Hook. & Grev.,yes (ys),
Malvaceae,Talipariti tiliaceum,(L.) Fryxell,yes (ys),
Rubiaceae,Tarenna mollis,(Wall. ex Hook.f.) B.L.Rob.,yes (ys),
Loranthaceae,Taxillus chinensis,(DC.) Danser,yes (ys),
Tectariaceae,Tectaria barberi,(Hook.) Copel.,yes (ys),
Tectariaceae,Tectaria semipinnata,(Roxb.) C.V. Morton,yes (ys),
Tectariaceae,Tectaria singaporiana,(Wall. ex Hook. & Grev.) Ching,yes (ys),
Tectariaceae,Tectaria vasta,(Blume) Copel.,yes (ys),
Combretaceae,Terminalia catappa,L.,yes (ys),
Combretaceae,Terminalia subspathulata,King,yes (ys),
Pentaphylacaceae,Ternstroemia penangiana,Choisy,yes (ys),
Dilleniaceae,Tetracera akara,Merr.,yes (ys),
Dilleniaceae,Tetracera fagifolia,Blume,yes (ys),
Dilleniaceae,Tetracera indica,(Christm. & Panz.) Merr.,yes (ys),
Dilleniaceae,Tetracera macrophylla,Wall. ex Hook. f. & Thoms.,yes (ys),
Vitaceae,Tetrastigma curtisii,(Ridl.) Suess.,yes (ys),
Vitaceae,Tetrastigma dichotomum,Planch.,yes (ys),
Vitaceae,Tetrastigma lawsoni,Herb. Kew.,yes (reuben),
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,yes (ys),
Orchidaceae,Thrixspermum trichoglottis,(Hook.f.) Kuntze,yes (Matti),
Rubiaceae,Timonius flavescens,(Jacq.) Baker,yes (ys),
Rubiaceae,Timonius wallichianus,(Korth.) Valeton,yes (ys),
Menispermaceae,Tinomiscium petiolare,Hook. f. & Thomson,yes (ys),
Menispermaceae,Tinospora macrocarpa,Diels,yes (reuben),
Cannabaceae,Trema cannabina,Lour.,yes (ys),
Cannabaceae,Trema tomentosa,(Roxb.) H. Hara,yes (ys),
Euphorbiaceae,Triadica cochinchinensis,Lour.,yes (ys),
Hymenophyllaceae,Trichomanes mindorense,Christ,yes (ys),
Hymenophyllaceae,Trichomanes motleyi,Bosch,yes (ys),
Hymenophyllaceae,Trichomanes sublimbatum,Müll. Stuttg.,yes (ys),
Cucurbitaceae,Trichosanthes celebica,Cogn.,yes (Wei Wei),
Cucurbitaceae,Trichosanthes wawraei,Cogn.,yes (ys),
Orchidaceae,Trichotosia velutina,(Lodd. ex Lindl.) Kraenzl.,yes (2012 NIS),
Sapindaceae,Trigonachras acuta,Radlk.,yes (ys),
Trigoniaceae,Trigoniastrum hypoleucum,Miq.,yes (ys),
Euphorbiaceae,Trigonostemon heteranthus,Wight,yes (ys),
Burseraceae,Triomma malaccensis,Hook.f.,"yes (Turner & Chua, 2011)",
Malpighiaceae,Tristellateia australasiae,A. Rich.,yes (ys),
Staphyleaceae,Turpinia sphaerocarpa,Hassk.,yes (ys),
Rubiaceae,Uncaria cordata (var. ferruginea),(Lour.) Merr.,yes (ys),
Rubiaceae,Uncaria longiflora (var. pteropoda),(Poir.) Merr.,yes (ys),
Apocynaceae,Urceola elastica,Roxb.,yes (ys),
Apocynaceae,Urceola torulosa,Hook.f.,yes (ys),
Rubiaceae,Urophyllum arboreum,(Reinw. ex Blume) Korth.,yes (ys),
Rubiaceae,Urophyllum blumeanum,(Wight) Hook.f.,yes (ys),
Rubiaceae,Urophyllum griffithianum,(Wight) Hook.f.,yes (ys),
Rubiaceae,Urophyllum hirsutum,(Wight) Hook.f.,yes (ys),
Rubiaceae,Urophyllum streptopodium,Wall. ex Hook.f.,yes (ys),
Gentianaceae,Utania austromalayensis,M. Sugumaran,yes (Nparks),
Gentianaceae,Utania nervosa,K.M.Wong & M.Sugumaran,yes (ys),
Annonaceae,Uvaria cordata,(Dunal) Alston,yes (ys),
Annonaceae,Uvaria curtisii,King,yes (ys),
Annonaceae,Uvaria hirsuta,Jack,yes (ys),
Annonaceae,Uvaria javana,Dunal,yes (ys),
Annonaceae,Uvaria lobbiana,Hook.f. & Thomson,yes (ys),
Dipterocarpaceae,Vatica pauciflora,Blume,yes (ys),
Compositae,Vernonia arborea,Buch.-Ham.,yes (ys),
Santalaceae,Viscum articulatum,Burm. f.,yes (ys),
Santalaceae,Viscum ovalifolium,DC.,yes (ys),
Lamiaceae,Vitex pinnata,L.,yes (ys),
Lamiaceae,Vitex vestita,Wall. ex Schauer,yes (ys),
Pteridaceae,Vittaria elongata,Sw.,yes (ys),
Pteridaceae,Vittaria ensiformis,Sw.,yes (ys),
Orchidaceae,Vrydagzynea lancifolia,Ridl.,yes (2014 NIS),
Apocynaceae,Willughbeia coriacea,Wall.,yes (ys),
Apocynaceae,Willughbeia flavescens,Dyer ex Hook.f.,yes (ys),
Apocynaceae,Willughbeia tenuiflora,Dyer ex Hook.f.,yes (ys),
Apocynaceae,Wrightia laevis,Hook.f.,yes (ys),
Polygalaceae,Xanthophyllum amoenum,Chodat,yes (ys),
Polygalaceae,Xanthophyllum discolor,Chodat,yes (ys),
Polygalaceae,Xanthophyllum ellipticum,Korth. ex Miq.,yes (ys),
Polygalaceae,Xanthophyllum eurhynchum,Miq.,yes (ys),
Polygalaceae,Xanthophyllum flavescens,Roxb.,yes (ys),
Polygalaceae,Xanthophyllum vitellinum,(Blume) D.Dietr.,yes (ys),
Convolvulaceae,Xenostegia tridentata,(L.) D.F. Austin & Staples,yes (ys),
Sapindaceae,Xerospermum noronhianum,Blume,yes (Wei Wei),
Olacaceae,Ximenia americana,L.,yes (ys),
Meliaceae,Xylocarpus granatum,J.Koenig,yes (ys),
Meliaceae,Xylocarpus moluccensis,(Lam.) M.Roem.,yes (ys),
Meliaceae,Xylocarpus rumphii,(Kostel.) Mabb.,yes (ys),
Annonaceae,Xylopia caudata,Hook.f. & Thomson,yes (ys),
Annonaceae,Xylopia ferruginea,(Hook.f. & Thomson) Baill.,yes (ys),
Annonaceae,Xylopia malayana,Hook.f. & Thomson,yes (ys),
Zingiberaceae,Zingiber puberulum (var. chryseum),(Ridl.) Holttum,yes (ys),
Zingiberaceae,Zingiber singapurense,Škorničk.,yes (Matti),
Rhamnaceae,Ziziphus calophylla,Wall.,yes (ys),
Poaceae,Zoysia matrella,(L.) Merr.,yes (ys),
Orchidaceae,Acriopsis ridleyi,Hook.f.,yes (Chong),recent rediscovery
Meliaceae,Aglaia palembanica,Miq.,yes (Chong),recent rediscovery
Meliaceae,Aglaia tomentosa subsp. cordata,Teijsm. & Binn.,yes (Chong),recent rediscovery
Euphorbiaceae,Agrostistachys gaudichaudii,Müll.Arg.,yes (Chong),recent rediscovery
Orchidaceae,Bulbophyllum pulchellum,Ridl.,yes (Chong),recent rediscovery
Arecaceae,Calamus ornatus,Becc.,yes (Chong),recent rediscovery
Fabaceae,Callerya dasyphylla,(Miq.) Schot,yes (Chong),recent rediscovery
Araceae,Cryptocoryne ciliata,(Roxb.) Schott,yes (Chong),recent rediscovery
Oxalidaceae,Dapania racemosa,Korth.,yes (Chong),recent rediscovery
Rubiaceae,Lecananthus erubescens,Jack,yes (Chong),recent rediscovery
Cyperaceae,Mapania squamata,(Kurz) C.B.Clarke,yes (Chong),recent rediscovery
Orchidaceae,Peristylus lacertifer,(Lindl.) J.J.Sm.,yes (Chong),recent rediscovery
Zingiberaceae,Plagiostachys lateralis,(Ridl.) Ridl.,yes (Chong),recent rediscovery
Escalloniaceae,Polyosma conocarpa,Ridl.,yes (Chong),recent rediscovery
Psilotaceae,Psilotum complanatum,Sw.,yes (Chong),recent rediscovery
