standard name,intrinsic redetection probability
acacia kekapur,0.15298021392209937
acanthus ebracteatus,0.999999
acanthus ilicifolius,0.5110721327566871
acanthus volubilis,0.41108287132714466
acriopsis liliifolia,0.11586336030883194
acrostichum aureum,0.38153720574956346
acrostichum speciosum,0.32387023759012135
actephila excelsa var. javanica,0.42550264119235665
actinodaphne glomerata,0.07189848547136414
actinodaphne macrophylla,0.07438532991061371
actinodaphne malaccensis,0.1202148437895466
actinodaphne pruinosa,0.16550940490407998
actinoscirpus grossus,0.03388155347542579
adenanthera malayana,0.1581087966642864
adenia macrophylla var. singaporeana,0.6951801618529917
adenosma javanicum,0.2516446991497745
adiantum flabellulatum,0.132407523923264
adiantum hispidulum,0.11966388559574509
adinandra acuminata,0.6329144370525017
adinandra dumosa,0.999999
adinandra integerrima,0.12648703733142913
aegiceras corniculatum,0.6817621440462741
aeschynanthus albidus,0.18973055599714367
aeschynanthus parvifolius,0.3162175933285728
aeschynanthus radicans,0.17379504046324792
aeschynanthus wallichii,0.319896881072132
aganope heptaphylla,0.48953668455071797
aganope thyrsiflora,0.6042503803386651
agelaea borneensis,0.6880673421755342
agelaea macrophylla,0.4344876011581198
aglaia crassinervia,0.1078477282070462
aglaia cucullata,0.3726970882296837
aglaia elliptica,0.1581087966642864
aglaia erythrosperma,0.04532048938377291
aglaia leptantha,0.35711350402423886
aglaia macrocarpa,0.05889892545204454
aglaia meliosmoides,0.12985945600881413
aglaia multinervis,0.18076270169115236
aglaia odoratissima,0.27858066436787493
aglaia palembanica,0.03923361085194517
aglaia rubiginosa,0.13552621390170316
aglaia rufinervis,0.5082233021313869
aglaia tomentosa subsp. cordata,0.03162175933285728
aglaomorpha speciosa,0.27028900338439527
aglaonema nebulosum,0.1096841199954803
aglaonema nitidum,0.25297407466285826
aglaonema simplex,0.1581087966642864
agrostistachys borneensis,0.2735374121950864
agrostistachys gaudichaudii,0.09178812835325961
agrostistachys sessilifolia,0.999999
agrostophyllum majus,0.34402123925555744
agrostophyllum stipulatum,0.12340459381442984
aidia auriculata,0.09013265406013182
aidia densiflora,0.6324351866571456
alangium javanicum,0.034822583045984366
alangium longiflorum,0.5508920063427081
alangium nobile,0.10446774913795309
alangium ridleyi,0.14899372316665366
alangium salviifolium,0.0991893139172223
alangium uniloculare,0.13552621390170316
albertisia crassa,0.5833270567135241
albizia retusa,0.10446774913795309
albizia splendens,0.3134032474138593
alchornea rugosa,0.4092669404464176
alchornea villosa,0.3162175933285728
allmania nodiflora,0.14836366058266992
allophylus cobbe,0.7649010696104968
alocasia longiloba,0.4743263899928592
alphonsea johorensis,0.14426467282864175
alphonsea maingayi,0.1078477282070462
alpinia aquatica,0.4743263899928592
alpinia conchigera,0.03796259206082332
alpinia rafflesiana,0.09486527799857183
alseodaphne bancana,0.2710524278034063
alseodaphne nigrescens,0.2032023015367373
alseodaphne oblanceolata,0.1304637406472406
alstonia angustifolia,0.6662143217757837
alstonia angustiloba,0.7592518412164664
alstonia pneumatophora,0.39385739886536014
alstonia spatulata,0.43279401848592525
alyxia reinwardtii,0.43672138634581154
amischotolype gracilis,0.1464983264979526
amischotolype mollissima,0.17379504046324792
amomum hastilabium,0.06324351866571457
amomum xanthophlebium,0.1581087966642864
ampelocissus ascendiflora,0.16232432001101765
ampelocissus elegans,0.999999
ampelocissus gracilis,0.5691916679914311
ampelocissus polystachya,0.2811263283042256
ampelocissus thyrsiflora,0.034822583045984366
amphineuron opulentum,0.38890762818617153
amydrium medium,0.19478918401322118
anacolosa frutescens,0.07189848547136414
anadendrum microstachyum,0.44270463066000193
anaxagorea javanica,0.27864134991762285
ancistrocladus tectorius,0.24476834227535899
angiopteris evecta,0.14602060935905342
anisophyllea disticha,0.7478992849734067
anisophyllea griffithii,0.2516446991497745
anisoptera costata,0.14836366058266992
anisoptera laevis,0.0724229870690569
anisoptera megistocarpa,0.6830356119779593
anodendron candolleanum,0.33553529357246603
anoectochilus geniculatus,0.27382421126398676
antiaris toxicaria,0.2064391888805333
antidesma coriaceum,0.529630095693056
antidesma cuspidatum,0.999999
antidesma neurocarpum,0.49241928131253576
antidesma velutinosum,0.24476834227535899
antrophyum callifolium,0.20328932085255474
aphanamixis polystachya,0.6098679625576643
aphyllorchis pallida,0.5476484225279735
aporosa benthamiana,0.7115126229839416
aporosa confusa,0.999999
aporosa falcifera,0.12871410029338456
aporosa frutescens,0.999999
aporosa globifera,0.22350338954620275
aporosa lucida,0.45915073890056207
aporosa lunata,0.07189848547136414
aporosa maingayi,0.47865554238298036
aporosa nervosa,0.14379697094272828
aporosa nigricans,0.2516446991497745
aporosa prainiana,0.3594924273568207
aporosa subcaudata,0.1581087966642864
aporosa symplocoides,0.2156954564140924
apostasia nuda,0.22135231533000096
appendicula cornuta,0.999999
appendicula lucida,0.2682253073063306
aquilaria hirta,0.10164466042627737
aquilaria malaccensis,0.39544167009250275
aquilaria microcarpa,0.27039796218039547
arachnis hookeriana,0.3455684423154175
aralidium pinnatifidum,0.12238417113767949
archidendron clypearia,0.9848385626250715
archidendron contortum,0.30596042784419875
archidendron ellipticum,0.48697296003305296
archidendron globosum,0.07189848547136414
archidendron jiringa,0.5793168015441598
archidendron microcarpum,0.6010742189477329
ardisia crenata,0.45894064176629806
ardisia elliptica,0.6438656650071176
ardisia purpurea,0.2156954564140924
ardisia sanguinolenta,0.6492972800440706
ardisia singaporensis,0.7764298715802743
ardisia teysmanniana,0.6119208556883975
ardisia tuberculata,0.2606925606948719
argyreia ridleyi,0.45450809603084946
artabotrys costatus,0.1898129603041166
artabotrys crassifolius,0.1518503682432933
artabotrys maingayi,0.27793330209012795
artabotrys suaveolens,0.9484773263170161
artabotrys wrayi,0.23717087432798054
arthrophyllum diversifolium,0.7965245968619725
artocarpus anisophyllus,0.28759394188545656
artocarpus elasticus,0.6289357386355039
artocarpus fulvicortex,0.20328932085255474
artocarpus gomezianus,0.19531674909368124
artocarpus hispidus,0.36412069078897596
artocarpus kemando,0.3726970882296837
artocarpus lacucha,0.55190268803746
artocarpus lanceifolius,0.4065786417051095
artocarpus lowii,0.1741129152299218
artocarpus nitidus subsp. griffithii,0.10446774913795309
artocarpus rigidus,0.31862424084928787
arundina graminifolia,0.25297407466285826
arytera littoralis,0.03594924273568207
aspidopterys concava,0.16940776737712895
asplenium batuense,0.07749107510292139
asplenium longissimum,0.31935024362535025
asplenium macrophyllum,0.460483354188706
asplenium nidus,0.40155667573739695
asplenium nitidum,0.08689752023162396
asplenium phyllitidis,0.3337963742234338
asplenium tenerum,0.05905372579059776
athyrium accedens,0.5833270567135241
austrobuxus nitidus,0.5004623218283686
avicennia alba,0.9706295538634159
avicennia marina,0.4995104232856476
avicennia officinalis,0.48697296003305296
avicennia rumphiana,0.999999
baccaurea bracteata,0.6991536867943042
baccaurea brevipes,0.10462297032367432
baccaurea macrocarpa,0.17974621367841034
baccaurea macrophylla,0.04006305155079705
baccaurea minor,0.1078477282070462
baccaurea motleyana,0.38293989247939836
baccaurea parviflora,0.7954971123949167
baccaurea polyneura,0.48751616264378106
baccaurea racemosa,0.03594924273568207
baccaurea reticulata,0.14379697094272828
baccaurea sumatrana,0.503289398299549
baratranthus axanthus,0.13337283524882743
barringtonia asiatica,0.08689752023162396
barringtonia conoidea,0.707198435536596
barringtonia racemosa,0.38957836802644236
barringtonia reticulata,0.25971891201762826
bauhinia semibifida,0.668875296787185
beilschmiedia kunstleri,0.14379697094272828
beilschmiedia madang,0.4404601951805353
benstonea affinis,0.13552621390170316
benstonea atrocarpa,0.19478918401322118
benstonea ornata,0.29218377601983175
benstonea parva,0.25297407466285826
bhesa paniculata,0.7343050268260769
bhesa robusta,0.2650451645342004
blechnum finlaysonianum,0.23838995706664587
blechnum orientale,0.5661761480332839
blechnum serrulatum,0.20003990440768254
blumea riparia,0.09117913739836214
blumeodendron tokbrai,0.6311279298951196
bolbitis appendiculata,0.23621490316239105
bolbitis heteroclita,0.999999
bolbitis sinuata,0.2681887016999766
bolbitis x singaporensis,0.4355824093742242
bouea macrophylla,0.38304841350582797
bouea oppositifolia,0.11919497853332293
brackenridgea elegantissima,0.36715251341303845
brackenridgea palustris,0.4794932737110339
breynia coronata,0.2625394213561022
breynia discigera,0.25971891201762826
breynia racemosa,0.7021162528934195
breynia vitis-idaea,0.1413610822612669
bridelia cinnamomea,0.07189848547136414
bridelia pustulata,0.4065786417051095
bridelia stipularis,0.45555110472987986
bridelia tomentosa,0.4487395709840441
bromheadia alticola,0.09486527799857183
bromheadia finlaysoniana,0.44270463066000193
bromheadia truncata,0.21111423884563488
brownlowia tersa,0.5751878837709131
brucea javanica,0.17379504046324792
bruguiera cylindrica,0.9848385626250715
bruguiera gymnorhiza,0.8260931551793366
bruguiera hainesii,0.999999
bruguiera parviflora,0.30493398127883214
bruguiera sexangula,0.2710524278034063
buchanania arborescens,0.6956787053228601
buchanania sessilifolia,0.7531118420074077
bulbophyllum acuminatum,0.386857016993753
bulbophyllum apodum,0.12648703733142913
bulbophyllum clandestinum,0.25297407466285826
bulbophyllum concinnum,0.2629103352287299
bulbophyllum flabellum-veneris,0.09486527799857183
bulbophyllum gracillimum,0.999999
bulbophyllum macranthum,0.06324351866571457
bulbophyllum macrochilum,0.29332926441728063
bulbophyllum maxillare,0.4794932737110339
bulbophyllum medusae,0.7764298715802743
bulbophyllum membranaceum,0.0882606648701077
bulbophyllum ovalifolium,0.6880424785111149
bulbophyllum patens,0.6880424785111149
bulbophyllum pulchellum,0.18973055599714367
bulbophyllum purpurascens,0.5425040033946683
bulbophyllum singaporeanum,0.12648703733142913
bulbophyllum vaginatum,0.2317267206176639
bulbophyllum vermiculare,0.999999
bulbostylis barbata,0.08887213614558956
bulbostylis puberula,0.1532926447976826
burmannia championii,0.35582987385444115
burmannia coelestis,0.3162175933285728
byttneria maingayi,0.3365564706286186
caesalpinia bonduc,0.09370877610140854
caesalpinia crista,0.7142270080484777
caesalpinia sumatrana,0.066203761961632
calamus densiflorus,0.099305642942448
calamus diepenhorstii,0.22725404801542473
calamus erinaceus,0.18973055599714367
calamus insignis,0.12985945600881413
calamus javensis,0.14379697094272828
calamus laevigatus,0.09739459200661059
calamus lobbianus,0.22135231533000096
calamus ornatus,0.03388155347542579
calamus oxleyanus,0.3246486400220353
calamus ridleyanus,0.10164466042627737
calanthe pulchra,0.2317267206176639
callerya dasyphylla,0.05889892545204454
callerya eriantha,0.2156954564140924
callicarpa longifolia,0.3039304579945405
callostylis pulchella,0.1581087966642864
calophyllum dispar,0.09013265406013182
calophyllum ferrugineum,0.6951801618529917
calophyllum inophyllum,0.7834519900305444
calophyllum lanigerum var. austrocoriaceum,0.1353435559662574
calophyllum macrocarpum,0.3069302026362954
calophyllum pulcherrimum,0.999999
calophyllum rigidum,0.10636572028163917
calophyllum rubiginosum,0.2156954564140924
calophyllum rufigemmatum,0.4673401555638669
calophyllum soulattri,0.3069302026362954
calophyllum sundaicum,0.2027608805404559
calophyllum tetrapterum,0.8845088911469918
calophyllum teysmannii,0.37946111199428734
calophyllum wallichianum var. incrassatum,0.38304841350582797
campnosperma auriculatum,0.5065786587666224
campnosperma squamatum,0.8343648497332605
campylospermum serratum,0.7531118420074077
canarium littorale,0.5710205080003463
canarium patentinervium,0.38957836802644236
canarium pilosum,0.49652821471223996
canavalia cathartica,0.5166817785907188
canavalia rosea,0.28459583399571553
cansjera rheedii,0.40753495786222993
canthium confertum,0.9802745393185757
canthium glabrum,0.3726970882296837
canthium horridum,0.1741129152299218
canthium molle,0.12985945600881413
capparis micracantha subsp. korthalsiana,0.16550940490407998
carallia brachiata,0.5919839117817342
carex cryptostachys,0.033101880980816
caryota mitis,0.3162175933285728
casearia capitellata,0.3388155347542579
casearia clarkei,0.2156954564140924
casearia lobbiana,0.6787252659793641
cassine viburnifolia,0.5085715137819167
cassytha filiformis,0.6640569459900029
castanopsis lucida,0.6119208556883975
castanopsis malaccensis,0.10446774913795309
castanopsis megacarpa,0.30493398127883214
castanopsis nephelioides,0.07189848547136414
castanopsis schefferiana,0.23536177298695388
castanopsis wallichii,0.4743263899928592
casuarina equisetifolia,0.9183014778011241
cayratia japonica,0.10446774913795309
cayratia mollissima,0.8304554742046244
cayratia novemfolia,0.22135231533000096
cayratia trifolia,0.6731129412572372
celastrus monospermoides,0.07189848547136414
centotheca lappacea,0.3218032825761506
cephalomanes javanicum,0.09739459200661059
cephalomanes obscurum,0.4634534412353278
cephalomanes singaporeanum,0.17949582839361763
cerbera manghas,0.39774855619745836
cerbera odollam,0.3365564706286186
ceriops tagal,0.6640569459900029
ceriops zippeliana,0.225539323797399
champereia manillana,0.999999
chassalia chartacea,0.31862424084928787
chassalia curviflora,0.34783935266143007
cheilanthes tenuifolia,0.10863448060358534
cheilocostus speciosus,0.19692869943268007
chionanthus ramiflorus,0.1518503682432933
chisocheton patens,0.48953668455071797
chisocheton pentandrus subsp. paucijugus,0.2691576226214761
chisocheton sarawakanus,0.08854628827793369
chloranthus erectus,0.2141722994909391
chonemorpha fragrans,0.15482939166039997
christella arida,0.1581087966642864
christella subpubescens,0.3843565312931789
chrysophyllum roxburghii,0.16550940490407998
chrysopogon aciculatus,0.4238365865226866
cinnamomum iners,0.6344628993555983
cinnamomum javanicum,0.17949582839361763
cissus hastata,0.8400093622390317
cissus nodosa,0.44270463066000193
cissus repens,0.30718219214926457
cissus rostrata,0.1741129152299218
claderia viridiflora,0.22135231533000096
claoxylon indicum,0.4065786417051095
claoxylon longifolium,0.2141722994909391
clausena excavata,0.3927627472201323
cleisostoma halophilum,0.30474010989363903
cleistanthus macrophyllus,0.2682944296932967
cleistanthus oblongifolius,0.16550940490407998
cleistanthus sumatranus,0.3267171999872933
clerodendrum deflexum,0.4055217610809118
clerodendrum disparifolium,0.999999
clerodendrum inerme,0.774767360466599
clerodendrum myrmecophilum,0.5513082547681237
clerodendrum nutans,0.04238625301596963
clerodendrum speciosissimum,0.22355159418176512
clerodendrum villosum,0.6082826416213677
cnestis palala,0.4404601951805353
cocculus orbiculatus,0.11919497853332293
coelogyne mayeriana,0.2629103352287299
coelogyne rochussenii,0.03246486400220353
coelogyne testacea,0.999999
coelospermum truncatum,0.18454566093436098
coelostegia griffithii,0.13552621390170316
colubrina asiatica,0.6662143217757837
combretum sundaicum,0.297916928827344
combretum tetralophum,0.11184509785748868
commelina attenuata,0.8346570439839058
commersonia bartramia,0.7920478330713693
connarus ferrugineus,0.1587793866877243
connarus grandis,0.12985945600881413
connarus monocarpus subsp. malayensis,0.16869542768725976
connarus planchonianus,0.26022398624974863
connarus semidecandrus,0.23932777119149018
coptosapelta flavescens,0.0724229870690569
coptosapelta griffithii,0.10863448060358534
cordia dichotoma,0.25553606637834353
corymborkis veratrifolia,0.4780977300288173
coscinium fenestratum,0.29218377601983175
cotylelobium lanceolatum,0.12985945600881413
cratoxylum arborescens,0.39774855619745836
cratoxylum cochinchinense,0.4634534412353278
cratoxylum formosum,0.6038530838027358
cratoxylum maingayi,0.6119208556883975
crepidomanes christii,0.16368090192328819
crepidomanes humile,0.4175241902853782
crepidomanes minutum,0.03594924273568207
crinum asiaticum,0.18973055599714367
croton argyratus,0.40498709213346995
croton caudatus,0.5813248129039775
croton oblongus,0.999999
crypteronia griffithii,0.36998218950860595
cryptocarya ferrea,0.4404601951805353
cryptocarya griffithiana,0.4147366353460846
cryptocarya impressa,0.08479467922341505
cryptocarya nitens,0.23616538453721853
cryptocarya rugulosa,0.19395841096073724
cryptocoryne ciliata,0.036505152339763355
cryptocoryne griffithii,0.34783935266143007
ctenolophon parvifolius,0.1304637406472406
ctenopterella blechnoides,0.36938936439309006
cyathea glabra,0.3988583058320033
cyathea latebrosa,0.3825023440766627
cyathea squamulata,0.34759008092649585
cyathocalyx ramuliflorus,0.5751878837709131
cyathocalyx ridleyi,0.3805180757358972
cyathocalyx sumatranus,0.16452617999322047
cyathostemma viridiflorum,0.49652821471223996
cyathula prostrata,0.4044600260373586
cycas edentata,0.10164466042627737
cyclea laxiflora,0.3246486400220353
cyclosorus interruptus,0.2710524278034063
cymbidium bicolor subsp. pubescens,0.066203761961632
cymbidium finlaysonianum,0.18973055599714367
cynanchum ovalifolium,0.12985945600881413
cynodon dactylon,0.33101880980815995
cynometra ramiflora,0.14379697094272828
cyperus compactus,0.07518006036607981
cyperus digitatus,0.18076270169115236
cyperus dubius,0.09178812835325961
cyperus javanicus,0.18973055599714367
cyperus malaccensis,0.07189848547136414
cyperus procerus,0.07846722170389034
cyperus radians,0.1581087966642864
cyperus stoloniferus,0.41108287132714466
cyperus tenuiculmis,0.03162175933285728
cyrtandra pendula,0.18357625670651923
cyrtococcum patens var. latifolium,0.27536438505977884
cyrtosperma merkusii,0.2625519126885453
cyrtostachys renda,0.22135231533000096
cystorchis variegata,0.1581087966642864
dacryodes costata,0.08913737789844943
dacryodes laxa,0.198611285884896
dacryodes longifolia,0.22651949218422046
dacryodes rostrata,0.4404601951805353
dacryodes rugosa,0.0676717779831287
dactyloctenium aegyptium,0.12625698567574106
daemonorops angustifolia,0.29218377601983175
daemonorops didymophylla,0.3246486400220353
daemonorops geniculata,0.08854628827793369
daemonorops grandis,0.4743263899928592
daemonorops hirsuta,0.4743263899928592
daemonorops kunstleri,0.03162175933285728
daemonorops leptopus,0.18973055599714367
daemonorops longipes,0.34783935266143007
daemonorops periacantha,0.22725404801542473
daemonorops sabut,0.132407523923264
dalbergia candenatensis,0.7151698711999376
dalbergia havilandii,0.15037612801728503
dalbergia hullettii,0.19729999509812385
dalbergia junghuhnii,0.36715251341303845
dalbergia parviflora,0.044568688949224715
dalbergia rostrata,0.34759008092649585
dalbergia velutina,0.1581087966642864
dapania racemosa,0.042085661891913685
daphniphyllum laurinum,0.2039198253150054
davallia angustata,0.3482252490554526
davallia denticulata,0.5610103950106787
davallia heterophylla,0.7315832613681236
davallia parvula,0.892497985986524
davallia pectinata,0.17222291928512165
davallia repens,0.35958882888147325
davallia solida,0.2431443663956324
davallia triphylla,0.2872166598152475
decaspermum fruticosum,0.703708984041657
dehaasia incrassata,0.12985945600881413
dendrobium acerosum,0.3748609431795705
dendrobium aloifolium,0.2654471649738204
dendrobium bancanum,0.2553945949989682
dendrobium comatum,0.386857016993753
dendrobium crumenatum,0.3162175933285728
dendrobium indivisum,0.6888922703556759
dendrobium indragiriense,0.047120360753755634
dendrobium lamellatum,0.2076359491300832
dendrobium lobbii,0.12648703733142913
dendrobium microglaphys,0.34402123925555744
dendrobium pachyphyllum,0.09486527799857183
dendrobium pandaneti,0.2574999218375839
dendrobium pensile,0.44710318836353025
dendrobium planibulbe,0.29332926441728063
dendrobium plicatile,0.47622074081975196
dendrobium prostratum,0.3470901302836496
dendrobium stuposum,0.34402123925555744
dendrobium subulatum,0.7849195149991441
dendrobium villosulum,0.999999
dendrolobium umbellatum,0.9848385626250715
dendrophthoe pentandra,0.999999
dendrotrophe buxifolia,0.4794932737110339
dendrotrophe varians,0.41108287132714466
deplanchea bancana,0.12648703733142913
derris maingayana,0.4711914036163563
derris scandens,0.29754131964245484
derris trifoliata,0.999999
desmos dasymaschalus,0.8110435221618236
desmos dumosus,0.3235431846211386
dialium indum,0.17974621367841034
dialium platysepalum,0.4634534412353278
dianella ensifolia,0.4344876011581198
dichapetalum sordidum,0.14482920038603994
dicranopteris curranii,0.09697920548036862
dicranopteris linearis,0.4680775019289463
didymocarpus platypus,0.3365564706286186
didymoplexis pallens,0.06324351866571457
dienia ophrydis,0.22135231533000096
digitaria bicornis,0.12985945600881413
digitaria fuscescens,0.22725404801542473
digitaria longiflora,0.0607860915989081
digitaria mollicoma,0.25971891201762826
dillenia excelsa,0.45450809603084946
dillenia grandifolia,0.34790330839264155
dillenia indica,0.10164466042627737
dillenia pulchella,0.19478918401322118
dillenia suffruticosa,0.9170310206528611
dimeria ornithopoda,0.18973055599714367
dioscorea glabra,0.08246863052953099
dioscorea hispida,0.38783514160394905
dioscorea laurifolia,0.6492972800440706
dioscorea orbiculata var. tenuifolia,0.14957985699468135
dioscorea polyclados,0.25971891201762826
dioscorea prainiana,0.25553606637834353
dioscorea pyrifolia,0.5793168015441598
diospyros argentea,0.15298021392209937
diospyros buxifolia,0.3726970882296837
diospyros confusa,0.12018915465239115
diospyros coriacea,0.07189848547136414
diospyros diepenhorstii,0.19478918401322118
diospyros lanceifolia,0.8734427726916231
diospyros maingayi,0.264815047846528
diospyros oblonga,0.7273004646557174
diospyros styraciformis,0.38284301543828947
diospyros sumatrana,0.3134032474138593
diospyros venosa,0.198611285884896
diplazium cordifolium,0.028965840077207986
diplazium crenato-serratum,0.35408186791003654
diplazium esculentum,0.21822573244157
diplazium kunstleri,0.11184509785748868
diplazium malaccense,0.20859121243331513
diplazium prescottianum,0.17379504046324792
diplazium sorzogonense,0.999999
diplazium tomentosum,0.2955907972120283
diplectria divaricata,0.03246486400220353
diplectria viminalis,0.28459583399571553
diplospora malaccensis,0.4526935795977967
dipodium paludosum,0.18817572423651738
dipteris conjugata,0.23761250908166787
dipterocarpus caudatus subsp. penangianus,0.39544167009250275
dipterocarpus chartaceus,0.5833270567135241
dipterocarpus cornutus,0.14482920038603994
dipterocarpus elongatus,0.34618187469289646
dipterocarpus grandiflorus,0.1898129603041166
dipterocarpus kerrii,0.2856865659312823
dipterocarpus kunstleri,0.4945455352755664
dipterocarpus sublamellatus,0.29218377601983175
dipterocarpus tempehes,0.4530389843684409
